NodeCount,SimCnt,totalCompiletime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
8,0,2.2852910005894955,8.297624999613618,9.005083000374725,31.442040999536403,2.3599989999638638,3.350332999616512,2.9654707801862506e-11
8,1,1.627916000870755,8.221541998864268,8.751040999413817,22.37083399995754,2.154750000045169,2.5715410010889173,8.492551743104932e-11
8,2,1.5859160012041684,8.271958000477753,8.93875000110711,22.443916999691282,2.154333000362385,2.581167998869205,9.257200013156102e-12
8,3,1.6680419976182748,8.308291999128414,9.171457999400445,22.223874999326654,2.1479570004885318,2.574750000349013,1.5585738689588132e-10
8,4,1.2836670011893148,8.208665998608922,8.719456998733222,18.301499001609045,2.1426680013973964,2.3172920009528752,9.780057352579757e-12
12,0,2.6936670001305174,8.53037500019127,8.881249999831198,34.779583000272396,2.2398760011128616,3.428791998885572,4.644467883202497e-11
12,1,2.6034170005004853,8.357749999049702,8.809500001007109,33.896334000019124,2.1957500011922093,3.5042090003116755,3.405580608943656e-11
12,2,2.585791999081266,9.537874999296037,9.50941600058286,39.10237499985669,2.5917910006683087,4.004083999461727,1.4781641355903107e-10
12,3,2.4637920014356496,8.29479200001515,8.799208000709768,29.961958000058075,2.1697499996662373,3.130917000817135,2.8095887076846923e-11
12,4,2.0891250005661277,8.389750000787899,9.451124000406708,29.22124999895459,2.191500998378615,2.8684579992841464,1.2728448937210368e-11
16,0,3.483708000203478,8.415833000981365,8.726707997993799,42.97791700082598,2.203791998908855,4.0987499996845145,4.9256608612563704e-11
16,1,3.4297080019314308,8.340042000781978,8.72704300127225,41.75745800057484,2.207417001045542,4.098541998246219,1.0610643613739867e-10
16,2,3.507749999698717,8.311084000524716,8.796459000222967,42.25241600215668,2.207540999734192,4.124457998841535,2.883950630389042e-11
16,3,3.3937919997697463,8.25737499872048,8.825083001283929,41.95758300011221,2.198417998442892,4.083124998942367,3.0454174666311775e-11
16,4,2.9513329991459614,8.325667000463,8.949499000664218,37.802875000124914,2.1749999996245606,3.7019580013293307,2.0907641937184526e-11
20,0,4.491375000725384,8.658291999381618,8.776833001320483,54.62991700187558,2.181624999138876,5.163458999959403,3.886290978357775e-11
20,1,4.984207998859347,8.325707998665166,8.855999998559128,53.762332998303464,2.2327080005197786,5.0209170003654435,1.519711393194683e-10
20,2,3.692041998874629,8.276582999314996,8.742458001506748,45.69641699890781,2.1629169987136265,4.40116700156068,3.934640737331257e-11
20,3,3.6826669984293403,8.402791998378234,8.88041600046563,50.51400000047579,2.4485420017299475,4.59683299959579,2.715853930634893e-11
20,4,4.418874999828404,8.36791699839523,8.832542001982802,53.861667000091984,2.292543000294245,4.696958001659368,4.612992886982026e-11
24,0,6.193458999405266,8.33829200018954,8.776416998443892,66.26908300131618,2.1960000012768432,5.944332999206381,3.643162291667393e-11
24,1,5.150000999492477,8.65574999988894,8.861291998982779,57.54808299934666,2.2070420000090962,5.449417001727852,3.116856628440606e-11
24,2,4.896958000244922,8.475707998513826,8.841999000651413,53.58983399855788,2.1647919984388864,5.0591250001161825,7.03999480239359e-11
24,3,4.788790998645709,8.713541999895824,8.828791998894303,53.63295899951481,2.279875001477194,5.175375001272187,3.03991610529908e-11
24,4,4.574499998852843,8.357541999430396,8.782750999671407,53.4620830003405,2.19183300032455,5.272790996968979,3.8223960207716254e-11
28,0,6.505666999146342,8.309000000735978,8.912709001378971,66.2960829995427,2.1892910008318722,6.217292000656016,6.444119400123727e-10
28,1,6.352792001052876,9.202416998959961,8.814249998977175,69.75670800056832,2.642333000039798,6.837833001554827,1.8541661791666607e-10
28,2,5.8193330023641465,8.336749999216408,8.813999998892541,61.68212500051595,2.2464170015155105,5.91629200062016,3.532490074880772e-11
28,3,5.3843339992454275,8.253833000708255,8.85999899765011,57.86404199898243,2.1566670020547463,5.417541999122477,5.862991207132797e-11
28,4,5.056083999079419,8.494833000440849,8.936041998822475,53.41629299982742,2.17766700006905,5.227042000115034,1.329371903356635e-10
32,0,7.435917001203052,8.470582999507315,8.839626001645229,74.12729200223112,2.1825829990120837,6.86666699948546,6.617812667906409e-11
32,1,6.138457998531521,8.267417000752175,8.87916600004246,65.67216599978565,2.186499999879743,6.1769580006512115,3.471069005139827e-11
32,2,6.762999999409658,8.566582999264938,8.697249999386258,69.16799999999057,2.2829999979876447,6.597293000595528,4.194597403792133e-11
32,3,7.063541999741574,8.301084000777337,8.870958001352847,73.235083000327,2.196792001996073,6.796916999519453,1.5636738443978312e-10
32,4,6.867207999675884,8.305667000968242,9.050251001099241,65.45758399988699,2.199917000325513,6.159583999760798,3.4443097679526247e-11
36,0,9.110874998441432,8.487875000355416,8.877500000380678,85.99812399916118,2.2129579992906656,7.998291001058533,8.439196390319645e-11
36,1,8.675876000779681,8.64266700045846,8.915625001463923,84.82345799893665,2.20741600060137,8.190083000954473,6.988805965758261e-11
36,2,8.470415999909164,8.426541000517318,8.829916998365661,81.10949900037667,2.2066249985073227,7.637957998667844,4.0326442644904766e-11
36,3,7.535500999438227,8.389417000216781,8.896334000382922,73.07533400125976,2.1846660019946285,6.830583000919432,6.710397905743125e-11
36,4,7.830331998775364,8.348542000021553,8.781167001870926,77.53416599916818,2.1963330000289716,7.236583998746937,6.346960254195527e-11
40,0,10.008166998886736,8.609458000137238,9.09624999985681,97.98937499908789,2.2581249995710095,8.598001000791555,4.127872262754684e-11
40,1,10.107875999892713,8.435957999608945,9.032959002070129,93.71054300208925,2.1690419998776633,8.607750000010128,1.660615689071439e-10
40,2,10.139000998606207,8.5810840009799,8.905417000278248,92.72849999979371,2.3048749990266515,8.64391699906264,3.9953847988198045e-11
40,3,9.496832999502658,8.518874999936088,9.011458998429589,94.50804100197274,2.49466700006451,9.171584000796429,9.582829408466553e-11
40,4,9.861999000349897,8.784749999904307,8.97212500058231,88.95404199938639,2.2309170017251745,8.2682920001389,1.5104599342119493e-10
44,0,12.46749999882013,8.227166999859037,8.884874998329906,106.00687599981029,2.1926659992459463,9.602208998330752,6.9428864128755e-11
44,1,12.87729199975729,8.268999999927473,8.843333998811431,100.94470799958799,2.18158399911772,9.319000999312266,6.477814574286343e-11
44,2,11.236041000302066,8.253791000242927,8.81620900145208,101.14204100136703,2.18312499782769,9.30704200072796,1.4634834502665666e-10
44,3,10.858125000595464,8.299499999338877,8.841751001455123,97.45912499965925,2.1965840005577775,8.982125000329688,1.1602522892104063e-10
44,4,11.883375000252272,8.455458000753424,8.912415998565848,101.07604099903256,2.219167001385358,9.390541999891866,9.117082723266822e-11
48,0,13.291166000271915,8.490499998515588,8.912666999094654,113.26037400067435,2.191083998695831,10.45137500113924,1.207041163121595e-10
48,1,11.778250001952983,8.516624999174383,9.710540998639772,103.47241600175039,2.175666000766796,9.396834000654053,8.688510024750005e-11
48,2,11.432042001615628,8.507917000315501,8.77175000096031,101.25958299977356,2.1787510013382416,9.257666999474168,8.683242811054036e-11
48,3,10.762708998299786,8.364082999833045,8.803958000498824,97.4501250020694,2.222166000137804,8.968582998932106,3.949725896793516e-11
48,4,10.789291001856327,8.449291999568231,8.882376001565717,96.91870800088509,2.2181250005814945,8.961543000623351,8.174828242103657e-11
